321,GO-2005858628,2005/07/05 04:00:00+00,9,Morning,72
322,GO-2005884293,2005/07/06 04:00:00+00,0,Night,3
323,GO-20051024235,2005/07/06 04:00:00+00,11,Morning,75
324,GO-20051034499,2005/07/07 04:00:00+00,15,Afternoon,120
325,GO-2005974984,2005/07/07 04:00:00+00,21,Evening,1
326,GO-20051141661,2005/07/08 04:00:00+00,0,Night,78
327,GO-20051051617,2005/07/08 04:00:00+00,17,Afternoon,25
328,GO-2005813080,2005/07/11 04:00:00+00,4,Night,91
329,GO-20051110621,2005/07/12 04:00:00+00,1,Night,117
330,GO-20051154125,2005/07/12 04:00:00+00,23,Evening,118
331,GO-2005840492,2005/07/14 04:00:00+00,19,Evening,44
332,GO-2005985803,2005/07/14 04:00:00+00,23,Evening,2
333,GO-20051231037,2005/07/15 04:00:00+00,0,Night,26
334,GO-20051135577,2005/07/15 04:00:00+00,2,Night,138
335,GO-20051119487,2005/07/18 04:00:00+00,23,Evening,109
336,GO-20051000234,2005/07/19 04:00:00+00,0,Night,25
337,GO-20051059962,2005/07/19 04:00:00+00,20,Evening,111
338,GO-20051085328,2005/07/24 04:00:00+00,22,Evening,32
339,GO-2005791447,2005/07/25 04:00:00+00,22,Evening,75
340,GO-20051092479,2005/07/25 04:00:00+00,23,Evening,117
342,GO-2005812215,2005/07/25 04:00:00+00,23,Evening,22
343,GO-20051070044,2005/07/25 04:00:00+00,22,Evening,18
344,GO-2005847166,2005/07/26 04:00:00+00,2,Night,132
345,GO-20051150832,2005/07/27 04:00:00+00,22,Evening,121
346,GO-20051172430,2005/07/27 04:00:00+00,0,Night,23
347,GO-20051033500,2005/07/28 04:00:00+00,23,Evening,118
348,GO-20051135001,2005/07/30 04:00:00+00,17,Afternoon,32
349,GO-20051033503,2005/07/30 04:00:00+00,11,Morning,117
350,GO-20051167602,2005/07/30 04:00:00+00,15,Afternoon,25
351,GO-20051148137,2005/07/31 04:00:00+00,4,Night,75
352,GO-2005812216,2005/08/02 04:00:00+00,0,Night,26
353,GO-20051180813,2005/08/03 04:00:00+00,0,Night,25
354,GO-20051041793,2005/08/03 04:00:00+00,0,Night,2
355,GO-20051096487,2005/08/03 04:00:00+00,0,Night,25
356,GO-20051102449,2005/08/05 04:00:00+00,19,Evening,117
357,GO-2005962362,2005/08/06 04:00:00+00,3,Night,126
358,GO-2005776261,2005/08/07 04:00:00+00,23,Evening,139
359,GO-20051068304,2005/08/08 04:00:00+00,3,Night,75
360,GO-20051064930,2005/08/11 04:00:00+00,21,Evening,74
361,GO-20051185571,2005/08/12 04:00:00+00,19,Evening,25
362,GO-2005985817,2005/08/13 04:00:00+00,20,Evening,8
363,GO-20051079673,2005/08/13 04:00:00+00,22,Evening,132
364,GO-2005736154,2005/08/14 04:00:00+00,20,Evening,136
365,GO-20051059987,2005/08/14 04:00:00+00,16,Afternoon,30
366,GO-20051166826,2005/08/15 04:00:00+00,23,Evening,111
367,GO-20051156816,2005/08/15 04:00:00+00,3,Night,74
368,GO-20051072514,2005/08/16 04:00:00+00,17,Afternoon,44
369,GO-20051166679,2005/08/17 04:00:00+00,1,Night,18
370,GO-20051196223,2005/08/20 04:00:00+00,18,Evening,23
371,GO-20051098230,2005/08/20 04:00:00+00,4,Night,77
372,GO-20051117819,2005/08/21 04:00:00+00,17,Afternoon,25
373,GO-20051189864,2005/08/25 04:00:00+00,18,Evening,139
374,GO-2005776264,2005/08/26 04:00:00+00,21,Evening,117
375,GO-20051008718,2005/08/26 04:00:00+00,13,Afternoon,54
376,GO-20051172399,2005/08/28 04:00:00+00,21,Evening,81
377,GO-2005739592,2005/08/29 04:00:00+00,10,Morning,78
378,GO-20051108904,2005/08/29 04:00:00+00,15,Afternoon,61
379,GO-2005795636,2005/08/30 04:00:00+00,0,Night,93
380,GO-2005761120,2005/08/30 04:00:00+00,17,Afternoon,25
381,GO-2005940171,2005/08/30 04:00:00+00,0,Night,30
382,GO-2005739593,2005/08/31 04:00:00+00,21,Evening,82
383,GO-2005823741,2005/09/05 04:00:00+00,3,Night,1
384,GO-20051101797,2005/09/08 04:00:00+00,17,Afternoon,78
385,GO-2005739598,2005/09/09 04:00:00+00,14,Afternoon,82
386,GO-2005783530,2005/09/09 04:00:00+00,16,Afternoon,18
387,GO-20051186522,2005/09/09 04:00:00+00,0,Night,26
389,GO-20051096519,2005/09/10 04:00:00+00,14,Afternoon,24
390,GO-2005755933,2005/09/12 04:00:00+00,15,Afternoon,84
391,GO-20051203047,2005/09/13 04:00:00+00,21,Evening,25
392,GO-20051166412,2005/09/14 04:00:00+00,22,Evening,29
393,GO-20051139553,2005/09/16 04:00:00+00,2,Night,85
394,GO-20051156513,2005/09/16 04:00:00+00,21,Evening,5
395,GO-20051095265,2005/09/16 04:00:00+00,11,Morning,123
396,GO-20051217216,2005/09/18 04:00:00+00,0,Night,77
397,GO-2005805999,2005/09/21 04:00:00+00,21,Evening,25
398,GO-20051234246,2005/09/23 04:00:00+00,23,Evening,132
399,GO-2005744320,2005/09/26 04:00:00+00,0,Night,110
400,GO-20051132167,2005/09/27 04:00:00+00,14,Afternoon,137
401,GO-20051223946,2005/09/27 04:00:00+00,22,Evening,25
402,GO-20051168188,2005/10/02 04:00:00+00,0,Night,132
403,GO-20051266664,2005/10/05 04:00:00+00,0,Night,22
404,GO-20051263131,2005/10/07 04:00:00+00,0,Night,137
406,GO-2005795645,2005/10/09 04:00:00+00,23,Evening,81
407,GO-20051290605,2005/10/14 04:00:00+00,22,Evening,54
408,GO-20051259947,2005/10/15 04:00:00+00,23,Evening,132
409,GO-20051297374,2005/10/15 04:00:00+00,21,Evening,23
410,GO-20051259958,2005/10/22 04:00:00+00,13,Afternoon,132
411,GO-20051325246,2005/10/22 04:00:00+00,16,Afternoon,2
412,GO-20051265274,2005/10/23 04:00:00+00,18,Evening,1
413,GO-20051261119,2005/10/24 04:00:00+00,22,Evening,117
